frame,definition,example
f:Ruling_legally,An <em>Authority</em> with the power to make decisions hands down a <em>Finding</em> over a question presented in a formal or informal <em>Case</em>.,"<p class='list-group-item'>The judge  <span id='phrase_example'>ruled</span>  yesterday   that the revisions were not adequate .   </p><p class='list-group-item'> A high court in London  <span id='phrase_example'>ruled</span>  on the case   that a vulture fund can extract more than $20 million from Zambia for a debt .</p><p class='list-group-item'> In the California case ,  a judge  <span id='phrase_example'>ruled</span>  Oct. 12   that Tendler must pay the bloggers' legal fees .</p>"
f:Trajector-Landmark,"Basic Image Schema: contains a (more) profiled element, the <em>Trajector</em>, and an un- or less profiled element, the <em>Landmark</em>.  In combination with a schematically-defined <em>Profiled region</em> (with a pre-defined relationship to the <em>Landmark</em>), the <em>Landmark</em> serves as the basis for understanding the status or location of the <em>Trajector</em>.  
This schema essentially establishes a point-of-view or focus.  above.prep and below.prep both make use of the verticality schema, but are differentiated by whether the <em>Landmark</em> is associated with the upper region and the <em>Profiled region</em> with the lower or vice-versa.","<p class='list-group-item'>The cat  <span id='phrase_example'>in</span>  the shed  purred violently .</p><p class='list-group-item'> The shed  <span id='phrase_example'>around</span>  the cat  shook .</p><p class='list-group-item'>We 'll have to  leave  <span id='phrase_example'>before</span>  noon  .</p><p class='list-group-item'>In the 1990s , though ,  the rate at which DNA could be read  revved <span id='phrase_example'>into</span>  high gear  .</p>"
f:Cardinal_numbers,This is the primary frame evoked by the cardinal numbers.,"<p class='list-group-item'>Dr. Malik has confined  almost  a  <span id='phrase_example'>score</span>   of such unfortunates in his basement , you know.</p><p class='list-group-item'>There were <span id='phrase_example'> thirty </span>  of the little blue creatures  staring up at him.</p><p class='list-group-item'>Stephen has more than  five  <span id='phrase_example'> hundred </span> in his closet!   </p><p class='list-group-item'>There are  just over   six  <span id='phrase_example'>billion</span>  people  in the world today.</p>"
f:Temperature,An <em>Entity</em> has a <em>Temperature</em> characterized by the target.  The <em>Temperature</em> is a value of the temperature <em>Attribute</em>.,"<p class='list-group-item'>The pan  is already  too  <span id='phrase_example'>hot</span>  to touch .</p><p class='list-group-item'> The walk-in  was <span id='phrase_example'>freezing</span>, but it was better than hanging out in the kitchen.</p><p class='list-group-item'></p><p class='list-group-item'>Open a window; I'm too <span id='phrase_example'>hot</span>. is not in frame but rather in Subjective_temperature.</p>"
f:Ambient_temperature,"The <em>Temperature</em> in a certain environment, determined by <em>Time</em> and <em>Place</em>, is specified.",<p class='list-group-item'>It's  too  <span id='phrase_example'>hot</span>  to do anything   today .</p><p class='list-group-item'> Nome  is  pretty  <span id='phrase_example'>cold</span>  this time of  year </p><p class='list-group-item'> Last Tuesday  was a  real  <span id='phrase_example'>scorcher</span>.</p><p class='list-group-item'> Tomorrow  is gonna be  <span id='phrase_example'>chilly</span>.</p>
f:Clarity_of_resolution,The <em>Outcome</em> of a contest is described in terms of the <em>Margin</em> between what would be required for victory and the actual <em>Outcome</em>.,"<p class='list-group-item'>The Basque nationalists won a <span id='phrase_example'>narrow</span>  victory  in the regional elections on Sunday.</p><p class='list-group-item'>It was a major victory for workers, and a <span id='phrase_example'>decisive</span>  defeat  for the Tory.</p>"
f:Clemency,An <em>Executive authority</em> exercises their power to reduce or remove negative consequences for someone who has been labeled an <em>Offender</em> who participated in an <em>Crime</em>.,"<p class='list-group-item'>to committing  was granted <span id='phrase_example'>clemency</span>  on December 20, 2002 ,  by Governor Rick Perry .</p><p class='list-group-item'>A Fort Worth man convicted  of a robbery his brother later confessed</p><p class='list-group-item'>to committing  was granted <span id='phrase_example'>clemency</span> on December 20, 2002, by Governor Rick Perry.</p><p class='list-group-item'>Engel represented Robert Bacon,  the first man   Easley  gave <span id='phrase_example'>clemency</span>  in 2001 .    </p><p class='list-group-item'>Ohioans will receive a blow-by-blow account of arguments before the Ohio Parole Board on whether  Cincinnatian John Byrd Jr.  should be executed or granted <span id='phrase_example'>clemency</span>  for a 1983 murder .</p>"
f:Increment,A member or members of a <em>Class</em> have just been  mentioned or are present in the discourse setting and now a different instance  (or group of instances) of the same class is referred to.,<p class='list-group-item'>My husband left me for <span id='phrase_example'>another</span>  woman  -- and now wants to get back together again!</p><p class='list-group-item'>My husband left me for  <span id='phrase_example'>another</span>   woman  -- and now wants to get back together again!</p>
f:Used_up,"Through use, a <em>Resource</em> is diminished in quality or quantity (up to complete attrition) such that it becomes less capable of sustaining future use.",<p class='list-group-item'>My entire life savings  is <span id='phrase_example'>depleted</span>  due to university and medical bills .</p><p class='list-group-item'> All significant oil and gas reserves  are <span id='phrase_example'>exhausted</span> or have dwindled to an uneconomical level except for those of the Middle East.</p><p class='list-group-item'>Use shampoo and conditioner every day until  the shampoo and conditioner  are  completely  <span id='phrase_example'>used up</span>.</p>
f:Historic_event,"In the course of history, an <em>Event</em> or <em>Entity</em> is taken to have importance or significance.","<p class='list-group-item'>Throughout the campaign  activists  have <span id='phrase_example'>made</span>  financial  <span id='phrase_example'>history</span>  as one by one major corporations have yielded to protester power </p><p class='list-group-item'> The conference  was <span id='phrase_example'>historic</span>  for Atlanta's growth as a city .</p><p class='list-group-item'>Many of the <span id='phrase_example'>historic</span>  sites  offer additional outdoor recreation activities.</p><p class='list-group-item'>The James River is arguably the most <span id='phrase_example'>historic</span>  river  in the country and one of the most important rivers in the Southeast.</p><p class='list-group-item'>Take in the <span id='phrase_example'> history </span>, the sawdust-covered floors, and the legendary backroom where the ale flowed during Prohibition.</p>"
f:Launch_process,An <em>Agent</em> acts to begin the life of a <em>Process</em>.,"<p class='list-group-item'>After discovering her knack for organization ,  she decided to try to   <span id='phrase_example'>launch</span>  a career in human resources .</p><p class='list-group-item'> The City of Bratislava  has <span id='phrase_example'>launched</span>  a pilot project of providing internet access in the city centre .</p>"
f:Emotions_by_stimulus,"An <em>Experiencer</em>, <em>Expressor</em>, <em>Event</em>, or <em>State</em> has an emotion as brought on by an <em>Stimulus</em> or <em>Topic</em>.",<p class='list-group-item'>The <span id='phrase_example'>joyful</span>  reunion  took place on Sunday.</p><p class='list-group-item'>The Polish-born Pope was driven past <span id='phrase_example'>jubilant</span>  crowds .</p><p class='list-group-item'> I  am <span id='phrase_example'>glad</span>  about the sheep  .</p>
f:Mental_stimulus_exp_focus,An <em>Experiencer</em> has an emotion as caused by a <em>Stimulus</em> or concerning a <em>Topic</em>.,<p class='list-group-item'>I fall asleep hours later to the sound of their <span id='phrase_example'>engrossed</span>  murmuring .</p><p class='list-group-item'> Most of these great lords  are  downright  <span id='phrase_example'>infatuated</span>  with Italy .</p>
f:Mental_stimulus_stimulus_focus,A <em>Stimulus</em> serves to bring about an emotion of mental stimulation in an <em>Experiencer</em>.,<p class='list-group-item'>You will not easily find a  more  <span id='phrase_example'>absorbing</span>  box-set of piano discs .</p><p class='list-group-item'> New classes of free radical  are  particularly  <span id='phrase_example'>interesting</span>  to chemists .</p>
f:Custom,A <em>Behavior</em> is classified as entrenched for a <em>Protagonist</em> or a <em>Society</em>. The <em>Behavior</em> may be associated with a particular <em>Domain</em> of experience and described with a <em>Descriptor</em>. This indicates that the <em>Behavior</em> is commonly performed by the <em>Protagonist</em> or members of the <em>Society</em>.,"<p class='list-group-item'>It is an  old    Jewish  <span id='phrase_example'>custom</span>. </p><p class='list-group-item'>He was unaware of the  Japanese  <span id='phrase_example'>custom</span>  of waiting until the giver had departed . </p><p class='list-group-item'> The  ancient  <span id='phrase_example'>tradition</span>  of swan-upping  has been taking place on the river Thames.</p><p class='list-group-item'>Smithers thought that  hunting lions  was just another  native  <span id='phrase_example'>custom</span> </p><p class='list-group-item'>Marko showed great respect for the  social  <span id='phrase_example'>customs</span>  of his people .</p><p class='list-group-item'> When I reply to debates , it is  my  <span id='phrase_example'>custom</span>  to have heard all the speeches that have been made .</p>"
f:Stage_of_progress,An <em>Entity</em> is at a particular stage of its development.,"<p class='list-group-item'>The <span id='phrase_example'>Next Generation</span>  Internet  (NGI) Program has been successfully completed.</p><p class='list-group-item'>Osama bin Laden, prime suspect in the US terror attacks, is outfoxing intelligence agencies with his <span id='phrase_example'>low-tech</span>  communication methods .</p><p class='list-group-item'> Kids  are  much more  <span id='phrase_example'>advanced</span>  today   than they were in our era  that is for sure.</p>"
f:First_experience,An implicit experiencer has an <em>Experience</em> for the first time. Some LU's may specifically imply an agentive activity.,"<p class='list-group-item'>In Italy   the term was  <span id='phrase_example'>first</span>  used by the Venetians in 1546 </p><p class='list-group-item'> This time ,  the comet was  <span id='phrase_example'>first</span>  seen on the night of 19th October, 1805 by European observers Jean Louis Pons, Johann Sigismund Huth, and Alexis Bouvard</p>"
f:Continued_state_of_affairs,A <em>State of affairs</em> has held and continues to hold up to the <em>Reference occasion</em>.,"<p class='list-group-item'><span id='phrase_example'>To date</span> ,  the Department already has numerous requests for new systems to be developed .</p><p class='list-group-item'> SAGE has no activities planned   <span id='phrase_example'>as of yet</span> .</p><p class='list-group-item'>PBGC guarantees the benefit  that you had earned  <span id='phrase_example'>up to</span>  the date of plan termination </p><p class='list-group-item'>I think that  she 's  <span id='phrase_example'> still </span>  in her office  .</p>"
f:Intoxication,This frame concerns people being in an altered mental state that is induced by an <em>Intoxicant</em>.,<p class='list-group-item'>Cory  was <span id='phrase_example'>drunk</span>.</p><p class='list-group-item'> Nutty  stormed in <span id='phrase_example'>drunk</span>  as a fiddler .</p>
f:People_by_religion,"This frame contains words for individuals, i.e. humans, with respect to their <em>Religion</em>. The <em>Religion</em> is generally incorporated, but with some lexical units it is specified separately.",<p class='list-group-item'>The bells call the <span id='phrase_example'> faithful </span> to evensong   </p><p class='list-group-item'>A  90-year-old  <span id='phrase_example'> Baptist </span> claims to have seen God personally in his backyard.</p>
f:Presence,"An <em>Entity</em> exists at a particular <em>Location</em>, at a particular <em>Time</em>, as observed by an implicit observer. A <em>Depictive</em> and/or <em>Duration</em> phrase is often found. This frame differs from Existence in that the <em>Location</em> is profiled as a ground where an observer is conceived of as confirming the <em>Entity</em>'s existence.","<p class='list-group-item'>Liquid water  was <span id='phrase_example'>present</span>  on the surface of Mars   billions of years ago .</p><p class='list-group-item'> Urate  was <span id='phrase_example'>present</span>  in varying concentrations   in the bathing solution only .</p><p class='list-group-item'> No one  was <span id='phrase_example'>present</span>.   </p><p class='list-group-item'> Your  <span id='phrase_example'>presence</span> is appreciated.   </p><p class='list-group-item'>In some cases, the <fen>Location</fen> may be recoverable from phrases that primarily express peripheral information:</p><p class='list-group-item'>Was  the senator  <span id='phrase_example'>present</span>  for the committee vote ?</p><p class='list-group-item'>Was the senator <span id='phrase_example'>present</span>  for the committee vote ?</p>"
f:Guest_and_host,"Two individuals, the <em>Guest</em> and the <em>Host</em> are in a temporary social relationship within which the <em>Host</em> provides use of a location or resources for the <em>Guest</em> at a location highly associated with the <em>Host</em> (in many cases, where the <em>Host</em> lives or works). The <em>Guest</em> is not expected to reciprocate the hospitality of the <em>Host</em> while the relationship holds, though may be expected to act as <em>Host</em> at a later time.",<p class='list-group-item'>Commander Silvers  was  the President's  <span id='phrase_example'>guest</span>  last week   at the White House .</p><p class='list-group-item'> Steve Stephens  will be  your  <span id='phrase_example'>host</span>  for the weekend .</p>
f:Social_interaction_evaluation,In this frame an <em>Evaluee</em> is judged by a (usually implicit) <em>Judge</em> to be of a certain character based on her or his <em>Behavior</em> towards other human beings; a specific <em>Affected party</em> may be overtly mentioned along with the <em>Degree</em> to which the <em>Evaluee</em> behaves appropriately towards others. The<em>Behavior</em> alone may be mentioned with the understanding that these behaviors characterize a property of the unmentioned <em>Evaluee</em>. The <em>Evaluee</em>'s <em>Behavior</em> may be in the context of a <em>Topic</em>.,<p class='list-group-item'>It was <span id='phrase_example'>nice</span>  of you   to send a card .  </p><p class='list-group-item'>  Jim  was <span id='phrase_example'>thoughtful</span>  to email the directions . </p><p class='list-group-item'>  For Martha to smoke in the car  was  extremely  <span id='phrase_example'>inconsiderate</span>. </p><p class='list-group-item'> It was <span id='phrase_example'>cruel</span>  that he continued to call her . </p><p class='list-group-item'>  Mary  was <span id='phrase_example'>cruel</span>  to her friends . </p><p class='list-group-item'> Samson was a <span id='phrase_example'>thoughtless</span>  person . </p><p class='list-group-item'> Mrs. Robinson  was always <span id='phrase_example'>considerate</span>  of her students . </p><p class='list-group-item'>  The press  was always <span id='phrase_example'>kind</span>  about Madonna . </p><p class='list-group-item'>  Lee  was <span id='phrase_example'>nice</span>  about my car accident . </p><p class='list-group-item'> I appreciated his <span id='phrase_example'>kind</span>  offer of the car .</p>
f:Age,"An <em>Entity</em> has existed for a length of time, the <em>Age</em>. The <em>Age</em> can be characterized as a value of the age <em>Attribute</em>, or a <em>Degree</em> modifier may express the deviation of the <em>Age</em> from the norm. The <em>Expressor</em> exhibits qualities of the age of the <em>Entity</em>.","<p class='list-group-item'>This building  is  twenty thousand years  <span id='phrase_example'>old</span>.</p><p class='list-group-item'> My grandpa  is  really  <span id='phrase_example'>old</span></p><p class='list-group-item'> Junior  is  only five weeks  <span id='phrase_example'>old</span>.</p><p class='list-group-item'>A cunning <span id='phrase_example'>oldish</span>  voice  called out from the crowd.</p><p class='list-group-item'> His   <span id='phrase_example'>age</span>  was  23   at the time .</p><p class='list-group-item'>  People  of   <span id='phrase_example'>age</span>   55  or older should consult their physician. </p><p class='list-group-item'>I have a  13-year -<span id='phrase_example'>old</span>  cousin </p><p class='list-group-item'> My grandma  is <span id='phrase_example'>old</span></p><p class='list-group-item'>There are additional patterns that the LUs in this frame occur in which are not licensed by a particular lexical head but by a construction.  Additionally, there are patterns that evoke this frame without any overt lexical head that are part of this frame.</p><p class='list-group-item'>She is 45 years of <span id='phrase_example'>age</span>.</p>"
f:Typicality,"An <em>Entity</em> is generally, or with regard to a particular <em>Feature</em>, representative of the <em>Comparison set</em> of which it is a member.","<p class='list-group-item'>The Elan truly is an <span id='phrase_example'>unusual</span>  car ; the first and only Lotus with a front engined/front wheel drive layout, and the first new Lotus to be introduced since 1975.</p><p class='list-group-item'> I need a plain, <span id='phrase_example'>vanilla</span>  example  that doesn't use PRINT! </p><p class='list-group-item'>How smart is the <span id='phrase_example'>average</span>  drug user/experimenter ? </p><p class='list-group-item'>It's not <span id='phrase_example'>unusual</span>  to be loved by anyone , It's not unusual to have fun with anyone,</p><p class='list-group-item'>Is  lying  <span id='phrase_example'>normal</span>  for a child this age , and how can I best handle this situation?</p>"
f:Passing_off,An <em>Agent</em> acts in such a way as to cause others to think that an <em>Item</em> is an instance of a particular kind of <em>Simulated entity</em>.,"<p class='list-group-item'>He  had, under the name of Armitage, <span id='phrase_example'>passed</span>  her  <span id='phrase_example'>off</span>  as a member of one of</p><p class='list-group-item'>the most distinguished families of the capital .</p><p class='list-group-item'>He undoubtedly believes you are  the impostor   who  <span id='phrase_example'>palmed</span>  himself  <span id='phrase_example'>off</span> at Bar Harbor</p><p class='list-group-item'> as the Baron von Kissel .</p><p class='list-group-item'>Knowing his likeness to the family of Lord Polperro  she  <span id='phrase_example'>palmed</span>  him  <span id='phrase_example'>off</span>  on them   as a distant relative .</p>"
f:Heat_potential,An <em>Insulator</em> is judged for its potential to increase the body temperature of an <em>Experiencer</em>. The <em>Activity</em> that the <em>Experiencer</em> engages in to experience the heat and the <em>Circumstances</em> in which the <em>Insulator</em> is judged may also be provided.,<p class='list-group-item'>That looks like a  really  <span id='phrase_example'>warm</span>  bed .</p><p class='list-group-item'> This blanket  is too <span id='phrase_example'>toasty</span>  for me .</p>
f:Commutation,"An <em>Executive authority</em> exchanges one penalty, the <em>Original punishment</em>, for another less severe one, the <em>New punishment</em>. The <em>Offender</em> is who received the <em>Original punishment</em> is usually expressed as a modifier.","<p class='list-group-item'>On December 15, 1971 ,  Governor Winfield Dunn  conditionally <span id='phrase_example'>commuted</span>  his sentence   to twenty years .</p><p class='list-group-item'>On December 15, 1971, Governor Winfield Dunn conditionally <span id='phrase_example'>commuted</span>  his  sentence to twenty years.</p><p class='list-group-item'>She served about two years before  President Carter  <span id='phrase_example'>commuted</span>  her sentence .</p><p class='list-group-item'>She served about two years before President Carter <span id='phrase_example'>commuted</span>  her  sentence.</p>"
f:Time_vector,"An <em>Event</em> is identified as occurring at a particular <em>Distance</em> and in a particular <em>Direction</em> from a <em>Landmark event</em>.   The lexical units incorporate the <em>Direction</em> and, in some cases, the <em>Landmark event</em>.","<p class='list-group-item'>Tell me that   a week   <span id='phrase_example'>from</span>   now . </p><p class='list-group-item'>  Some twelve months   <span id='phrase_example'>after</span>   I had graduated ,  I had my first job interview</p>"
f:Direction,"A <em>Path</em> made up of a set of positions in some N-space <em>Domain</em> (often spatial) is determined as a function of a <em>Base position</em> and some one-dimensional <em>Independent variable</em> (often time).  For many of the words of this frame, the <em>Domain</em> and/or the <em>Independent variable</em> are incorporated in the basic definition of the target.",<p class='list-group-item'><span id='phrase_example'>East</span>   of Mt. Diablo  the Sierras rise majestically above the Central Valley.</p>
f:Legality,"Words in this frame describe the status of an <em>Action</em> with respect to a <em>Code</em> of laws or rules. An <em>Object</em> may also be in violation or compliance of the <em>Code</em> by virtue of its existence, location or possession.",<p class='list-group-item'><span id='phrase_example'>Illegal</span>  drug use  is on the rise.  </p><p class='list-group-item'> Scores of <span id='phrase_example'>illegal</span>  immigrants  cross the border every year. </p><p class='list-group-item'>  Feeding the buffalo  is <span id='phrase_example'>prohibited</span>  according to Code 138  .</p>
f:Concessive,"A speaker marks a <em>Statement</em> as being or implying a contradiction to the <em>Main statement</em>.  Some LUs specify the <em>Main statement</em>, others the <em>Statement</em>, as referring to the preceding discourse (i.e. ), while yet others are conjunctions joining the two.","<p class='list-group-item'><span id='phrase_example'>Although</span>  she had some trouble  ,  she was able to finish about two hours early  .</p><p class='list-group-item'><span id='phrase_example'>Nevertheless</span> ,  we did win  .    </p><p class='list-group-item'> I wanted to come  , <span id='phrase_example'>but</span>  I did n't remember where the party was  .</p>"
f:Measure_by_action,"This frame involves words that provide a measure for some undelimited (mass) <em>Entity</em> by referring to an <em>Event</em> that a prototypical quantity (or duration) of the <em>Entity</em> stereotypically participates in.  The <em>Entity</em> is not necessarily a physical entity, but may instead be an undelimited type of event (such as a noise, or an activity).",<p class='list-group-item'>He put two  <span id='phrase_example'>splashes</span>   of cologne  on his face.</p><p class='list-group-item'>Sorry--there's only  two   <span id='phrase_example'>bites</span>   of cake  left.</p><p class='list-group-item'>Add a  <span id='phrase_example'>pinch</span>   of salt .</p>
f:Ranked_expectation,"An <em>Entity</em> is rated as unexpected for its context in terms of its magnitude.  Either some different type of <em>Entity</em> with a different scope would be expected, or a different amount of the <em>Entity</em>.","<p class='list-group-item'>The <span id='phrase_example'>entire</span>  apple  was riddled with worms .</p><p class='list-group-item'>The inevitable fate of the Warsaw Resistance fighters was not finally sealed until nine <span id='phrase_example'>whole</span>  weeks  of vicious fighting had taken a terrible toll on the people .</p><p class='list-group-item'>A <span id='phrase_example'>mere</span>  two percent  of Afghan women are registered to vote.</p><p class='list-group-item'>The crime scene doesn't wrap up in an hour, never mind an <span id='phrase_example'>entire</span>  investigation  . </p><p class='list-group-item'>It 's a huge engineering project when you 're building a <span id='phrase_example'>whole</span>  car  .</p>"
f:Impression,"This frame describes the <em>Impression</em> which a <em>Figure</em>, which can be a person, an organization, or an object, leaves with an <em>Audience</em>. The <em>Audience</em> is often left unstated when it represents anyone who is aware of the subject. The <em>Impression</em> may be describe with a <em>Descriptor</em>; the effectiveness of the <em>Impression</em> may be provided by <em>Degree</em>. The <em>Context</em> indicates the domain in which the <em>Impression</em> is understood.",<p class='list-group-item'>He   had  an extremely  fragile   self  - <span id='phrase_example'> image </span></p>
f:Unemployment_rate,"Based on how many <em>Individuals</em> are employed, the <em>Individuals</em> as a whole are described with a <em>Value</em> (either a percentage or absolute number) representing the <em>Employment</em> of the <em>Individuals</em>.","<p class='list-group-item'><span id='phrase_example'>Unemployment</span>  is down, salaries are up for US chemists.</p><p class='list-group-item'>As a result, the  <span id='phrase_example'>unemployment</span>   of Roma  is very high.</p><p class='list-group-item'>Today's report finds that  <span id='phrase_example'>unemployment</span>   among single mothers  rose for the first time in six years in 2002.   </p><p class='list-group-item'>In the 1950s and '60s,  <span id='phrase_example'>joblessness</span>   of 6 to 7 percent  was intense, but now an</p><p class='list-group-item'>unemployment rate of below 6 percent could be inflationary.   . </p><p class='list-group-item'>The economy was operating at full capacity, traditionally defined as  <span id='phrase_example'>employment</span>   of 96 percent of the civilian labor force .</p>"
f:Fragmentation_scenario,"A <em>Whole</em> fragments or breaks into <em>Parts</em>, or alternatively a part, <em>Part 1</em>, breaks off from the rest of the item, called <em>Part 2</em>.","<p class='list-group-item'>Last year ,  it  <span id='phrase_example'>broke</span>  off from the Ross Ice Shelf  and began drifting out to sea. </p><p class='list-group-item'> The calved ice  <span id='phrase_example'>broke</span>  into three large icebergs, named A22, A23 and A24 .</p>"
f:Being_detached,"An <em>Item</em> is detached from a <em>Source</em>, or <em>Items</em> are detached from each other.","<p class='list-group-item'>When  the snow plow  is <span id='phrase_example'>disconnected</span>  from the vehicle , extend the lift cylinder to the end of its stroke and coat the chrome rod with a light grease.</p><p class='list-group-item'> The gold leaves that  are <span id='phrase_example'>unattached</span>  to the engraved surfaces  fall off.</p><p class='list-group-item'>By 5:00 to 5:30 (depending on the time of year)  the boat  is <span id='phrase_example'>unmoored</span> and loaded.</p>"
