frame,fss_sent_centric,sent_id,sentence,word
cause_change,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
social_event,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
people,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
visiting,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
attack,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
contacting,0.900284008467,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
removing,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
gesture,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
system,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
gizmo,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
request,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
buildings,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
building_subparts,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
inclination,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
locale_by_use,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
opinion,0.00505837991295,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
building,0.00505837991295,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
communication,0.156972543127,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
categorization,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
cause_to_start,0.227561023625,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
containing,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
people,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
reason,0.104575571807,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
evidence,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
encoding,0.0708997183593,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
subjective_influence,0.0848727133553,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
expressing_publicly,0.0773376364182,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
successfully_communicate_message,0.153991595103,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
evoking,0.823234537817,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
experiencer_obj,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
grasp,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
coming_up_with,0.0848727133553,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
causation,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
reporting,0.0,FNC-1078,"The atmosphere of 19th - century Canton is best evoked on Shamian Island , a haunting , nostalgic place in the Pearl River .",evoked
leadership,0.00521575806905,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
have_associated,0.0816576659179,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
connectors,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
cause_change,0.0617118128236,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
people,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
damaging,0.0897971847674,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
commerce_scenario,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
wearing,0.87332556013,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
removing,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
ride_vehicle,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
dressing,0.178008044529,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
operate_vehicle,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
change_position_on_a_scale,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
undergo_change,0.0617118128236,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
path_traveled,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
travel,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
performers_and_roles,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
locale_by_use,0.0,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
clothing,0.161401459016,FNC-3159,Such sights include the colorful `` tams '' -- knitted hats worn by Jamaican men to cover their mane of dreadlocks -- and the red ackee fruit that ripens at the beginning of the year .,worn
aggregate,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
communication,0.327924696842,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
working_on,0.00523607942106,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
people,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
sent_items,0.382029525389,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
committing_crime,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
contacting,0.0619522510217,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
employing,0.0777609546153,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
cause_motion,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
labor_product,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
gizmo,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
measure_volume,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
sending,0.111839341344,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
create_representation,0.0573127104191,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
misdeed,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
building_subparts,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
locale_by_use,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
clothing,0.0,FNC-1653,"In 1844 , American explorer John C. Fremont parked his horses at Big Springs , and his report to the government resulted in a mail route leading past the spot on its way to California .",mail
cause_change,0.00535014179609,FNC-1091,"A popular optional excursion is an hour 's detour to Guangzhou Zoo , founded in 1958 .",excursion
expensiveness,0.0156935139576,FNC-1091,"A popular optional excursion is an hour 's detour to Guangzhou Zoo , founded in 1958 .",excursion
travel,0.978956344246,FNC-1091,"A popular optional excursion is an hour 's detour to Guangzhou Zoo , founded in 1958 .",excursion
communication,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
cause_change,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
people,0.00497953768113,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
damaging,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
visiting,0.921069406101,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
emotion_directed,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
encounter,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
residence,0.0739510562178,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
travel,0.315756427444,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
performers_and_roles,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
communication_manner,0.0,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
come_together,0.0784279845359,FNC-3051,"Foshan 's most outstanding artistic monument is Zu Miao , the Taoist Ancestral Temple , a Sung dynasty establishment rebuilt in the 14th century and well worth visiting .",visiting
means,0.601206445053,FNC-1750,We 've expanded Goodwill 's proven methods to towns and neighborhoods where they are needed most .,methods
domain,0.173152944857,FNC-1750,We 've expanded Goodwill 's proven methods to towns and neighborhoods where they are needed most .,methods
expertise,0.342971529733,FNC-1750,We 've expanded Goodwill 's proven methods to towns and neighborhoods where they are needed most .,methods
fields,0.131356281396,FNC-1750,We 've expanded Goodwill 's proven methods to towns and neighborhoods where they are needed most .,methods
gizmo,0.0,FNC-1750,We 've expanded Goodwill 's proven methods to towns and neighborhoods where they are needed most .,methods
communication,0.0378829079711,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
people,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
offering,0.875456602766,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
supply,0.163095149232,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
attending,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
commitment,0.244498244421,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
perception_active,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
attention,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
cause_motion,0.0928926388356,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
cogitation,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
request,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
behind_the_scenes,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
reporting,0.0,FNC-1851,"Excalibur , the MGM Grand , the Luxor , and New York - New York all followed Mirage 's lead during the 1990s , offering themed environments and attractions for families .",offering
leadership,0.00506635655904,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
create_physical_artwork,0.00506635655904,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
opinion,0.800746271252,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
containing,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
people,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
range,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
supply,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
perception_active,0.0774595914642,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
scope,0.0414873783599,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
diversity,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
regard,0.0832229057502,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
gizmo,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
communicate_categorization,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
purpose,0.0,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
differentiation,0.0752404023644,FNC-3045,"If , you study the evidences and statements released by these people , we tend to appreciate their ignorance which was based on prominent views .",views
subordinates_and_superiors,0.00583765057411,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
cause_change,0.475373038633,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
people,0.0,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
body_movement,0.0,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
employing,0.0,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
change_position_on_a_scale,0.282925842298,FNC-0894,"Macau 's population is estimated at around 450,000 , an appallingly high figure for such a small area ; recent land reclamation has eased the situation to some extent .",eased
