frame,definition,example,frame_word,def_len
f:Time_vector,"An <em>Event</em> is identified as occurring at a particular <em>Distance</em> and in a particular <em>Direction</em> from a <em>Landmark event</em>.   The lexical units incorporate the <em>Direction</em> and, in some cases, the <em>Landmark event</em>.  
This frame builds on the Direction frame, further specifying the Domain as Time. 
This frame will receive some of the lexical units currently found in Relative time.
","  Tell me that   a week   <span id='phrase_example'>from</span>   now . 

  Some twelve months   <span id='phrase_example'>after</span>   I had graduated ,  I had my first job interview ",TRUE,434
f:Direction,"A <em>Path</em> made up of a set of positions in some N-space <em>Domain</em> (often spatial) is determined as a function of a <em>Base position</em> and some one-dimensional <em>Independent variable</em> (often time).  For many of the words of this frame, the <em>Domain</em> and/or the <em>Independent variable</em> are incorporated in the basic definition of the target.  
","

 <span id='phrase_example'>East</span>   of Mt. Diablo  the Sierras rise majestically above the Central Valley. 


In this case, the <fen>Domain</fen> and the <fen>Independent_variable</fen> are both spatial.",TRUE,388
f:Commerce_scenario,"Commerce is a situation in which a <em>Buyer</em> and a <em>Seller</em> have agreed upon an exchange of <em>Money</em> and <em>Goods</em> (possibly after a negotiation), and then perform the exchange, optionally carrying it out with various kinds of direct payment or financing or the giving of change.  
","
The <fen>Seller</fen> indicates their willingness to give the <fen>Goods</fen> in their possession to a <fen>Buyer</fen> who would give them some amount of <fen>Money</fen>.  The <fen>Seller</fen> may have already decided on the amount of money that they would require, in which case it is called the Asking price.  


The <fen>Buyer</fen> also indicates their willingness to give an amount of money called an Offer to a <fen>Seller</fen> who would give them the <fen>Goods</fen>.  


Normally the process is begun by the <fen>Seller</fen>.  The means by which the <fen>Seller</fen> indicates their wish to engage in an exchange are various, ranging from putting a price tag on an item on a store shelf, to advertizing, to communicating directly and specifically with a possible <fen>Buyer</fen>.  In some cases, however, the process may be initiated by the <fen>Buyer</fen> indicating to a possible <fen>Seller</fen> that they would like to make an exchange.",TRUE,313
f:Legality,"Words in this frame describe the status of an <em>Action</em> with respect to a <em>Code</em> of laws or rules. An <em>Object</em> may also be in violation or compliance of the <em>Code</em> by virtue of its existence, location or possession.  
"," <span id='phrase_example'>Illegal</span>  drug use  is on the rise.  

 Scores of <span id='phrase_example'>illegal</span>  immigrants  cross the border every year. 

  Feeding the buffalo  is <span id='phrase_example'>prohibited</span>  according to Code 138  . ",TRUE,253
f:Concessive,"A speaker marks a <em>Statement</em> as being or implying a contradiction to the <em>Main statement</em>.  Some LUs specify the <em>Main statement</em>, others the <em>Statement</em>, as referring to the preceding discourse (i.e. ), while yet others are conjunctions joining the two.
","<span id='phrase_example'>Although</span>  she had some trouble  ,  she was able to finish about two hours early  .

<span id='phrase_example'>Nevertheless</span> ,  we did win  .    

 I wanted to come  , <span id='phrase_example'>but</span>  I did n't remember where the party was  . ",TRUE,295
f:Measure_by_action,"This frame involves words that provide a measure for some undelimited (mass) <em>Entity</em> by referring to an <em>Event</em> that a prototypical quantity (or duration) of the <em>Entity</em> stereotypically participates in.  The <em>Entity</em> is not necessarily a physical entity, but may instead be an undelimited type of event (such as a noise, or an activity).
","He put two  <span id='phrase_example'>splashes</span>   of cologne  on his face.

Sorry--there's only  two   <span id='phrase_example'>bites</span>   of cake  left.

Add a  <span id='phrase_example'>pinch</span>   of salt .
",TRUE,376
f:Ranked_expectation,"An <em>Entity</em> is rated as unexpected for its context in terms of its magnitude.  Either some different type of <em>Entity</em> with a different scope would be expected, or a different amount of the <em>Entity</em>.  
","The <span id='phrase_example'>entire</span>  apple  was riddled with worms .

The inevitable fate of the Warsaw Resistance fighters was not finally sealed until nine <span id='phrase_example'>whole</span>  weeks  of vicious fighting had taken a terrible toll on the people .

A <span id='phrase_example'>mere</span>  two percent  of Afghan women are registered to vote.

The crime scene doesn't wrap up in an hour, never mind an <span id='phrase_example'>entire</span>  investigation  . 

It 's a huge engineering project when you 're building a <span id='phrase_example'>whole</span>  car  .
Although there are some words that overlap between this frame and Completeness, the words in this frame indicate specifically that the magnitude of the <fen>Entity</fen> is different from what is expected, rather than grading an entity as to whether all its parts are present.  The Ranked_expectation uses must occur with an explicit or implicit quantification.  The Completeness uses can only occur with entities that have salient necessary parts and structure.",TRUE,228
f:Impression,"This frame describes the <em>Impression</em> which a <em>Figure</em>, which can be a person, an organization, or an object, leaves with an <em>Audience</em>. The <em>Audience</em> is often left unstated when it represents anyone who is aware of the subject. The <em>Impression</em> may be describe with a <em>Descriptor</em>; the effectiveness of the <em>Impression</em> may be provided by <em>Degree</em>. The <em>Context</em> indicates the domain in which the <em>Impression</em> is understood.
"," He   had  an extremely  fragile   self  - <span id='phrase_example'> image </span>

 My   impression   of the show  was just the opposite",TRUE,517
f:Unemployment_rate,"Based on how many <em>Individuals</em> are employed, the <em>Individuals</em> as a whole are described with a <em>Value</em> (either a percentage or absolute number) representing the <em>Employment</em> of the <em>Individuals</em>.
"," <span id='phrase_example'>Unemployment</span>  is down, salaries are up for US chemists.

As a result, the  <span id='phrase_example'>unemployment</span>   of Roma  is very high.

Today's report finds that  <span id='phrase_example'>unemployment</span>   among single mothers  rose for the first time in six years in 2002.   

In the 1950s and '60s,  <span id='phrase_example'>joblessness</span>   of 6 to 7 percent  was intense, but now an
unemployment rate of below 6 percent could be inflationary.   . 

The economy was operating at full capacity, traditionally defined as  <span id='phrase_example'>employment</span>   of 96 percent of the civilian labor force .   
",TRUE,242
f:Fragmentation_scenario,"A <em>Whole</em> fragments or breaks into <em>Parts</em>, or alternatively a part, <em>Part 1</em>, breaks off from the rest of the item, called <em>Part 2</em>.
"," Last year ,  it  <span id='phrase_example'>broke</span>  off from the Ross Ice Shelf  and began drifting out to sea. 

 The calved ice  <span id='phrase_example'>broke</span>  into three large icebergs, named A22, A23 and A24 .",TRUE,170
f:Being_detached,"An <em>Item</em> is detached from a <em>Source</em>, or <em>Items</em> are detached from each other. 
","When  the snow plow  is <span id='phrase_example'>disconnected</span>  from the vehicle , extend the lift cylinder to the end of its stroke and coat the chrome rod with a light grease.

 The gold leaves that  are <span id='phrase_example'>unattached</span>  to the engraved surfaces  fall off.

By 5:00 to 5:30 (depending on the time of year)  the boat  is <span id='phrase_example'>unmoored</span> and loaded.",TRUE,108
f:Getting_underway,"A <em>Self mover</em> begins the motion away from a relatively deprofiled <em>Source</em> location. The focus is on the motion rather than on the location that is being departed. The label <em>Self mover</em> here also includes vehicles that are steered by an intentional agent.
"," After a lunch of sandwiches on paper plates ,  we  <span id='phrase_example'>get</span> <span id='phrase_example'>under</span> <span id='phrase_example'>way</span>.

When  I  <span id='phrase_example'>got</span> <span id='phrase_example'>going</span>  for the day  I had horrible pain down my buttocks and leg.

 We  <span id='phrase_example'>got</span> <span id='phrase_example'>going</span>  via Tikul  and after a light lunch finally found the pottery place recommended in the guide,

I'll make this brief, as  I  need to <span id='phrase_example'>head</span> <span id='phrase_example'>out</span>  for the bookstore   in a bit .

 The band Killers  is <span id='phrase_example'>heading</span> <span id='phrase_example'>out</span>  on 25-date tour through Europe and Japan   this week .",TRUE,285
f:Have_as_translation_equivalent,"A  <em>Source symbol</em> in a <em>Source representation</em> system is presented to be matched by a <em>Target symbol</em> in a <em>Target representation</em> in the ability to express a particular <em>Content</em>.
"," A palintonon or palintone  <span id='phrase_example'>translates</span>  as V-spring  and euthytonon or euthytone
translates as straight-spring  from Greek .

It can be confusing if  one word  <span id='phrase_example'>translates</span>  into several   in Spanish ,  which don't have the same gender .

Therefore,  this word  <span id='phrase_example'>translates</span>  as a male .

 Perak  <span id='phrase_example'>translates</span>  as silver   in the Malay language .
Sentences such as the following are actually to be handled in the Be_translation_equivalent frame, which has the reverse point of view from the current frame.

We have just seen how each Bible program makes it easy to get a definition of  the Greek or Hebrew word   which   a given English word  <span id='phrase_example'>translates</span>. 
The difference is essentially between whether both speaker and addressee in the context where the word is used are starting with the <fen>Target_symbol</fen> in mind.  When they are, the symbols are being compared for how they correspond and Be_translation_equivalent can be used.  Otherwise, generally where the information conveyed by the predication is what the <fen>Target_symbol</fen> is, Have_as_translation_equivalent is used.",TRUE,227
